worker1  | 2025/06/27 03:17:55 INFO Worker arrancado en :8080
worker1  | 2025/06/27 03:17:55 INFO Server started address=[::]:8080
worker1  | 2025/06/27 03:18:05 INFO Request address=172.18.0.5:40370 method=GET path=/ping
worker1  | 2025/06/27 03:18:05 INFO Response address=172.18.0.5:40370 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:10 INFO Request address=172.18.0.5:45064 method=GET path=/ping
worker1  | 2025/06/27 03:18:10 INFO Response address=172.18.0.5:45064 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:15 INFO Request address=172.18.0.5:45066 method=GET path=/ping
worker1  | 2025/06/27 03:18:15 INFO Response address=172.18.0.5:45066 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:22 INFO Request address=172.18.0.5:49894 method=GET path=/ping
worker1  | 2025/06/27 03:18:22 INFO Response address=172.18.0.5:49894 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:30 INFO Request address=172.18.0.5:53454 method=GET path=/ping
worker1  | 2025/06/27 03:18:30 INFO Response address=172.18.0.5:53454 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:53466 method=GET path=/pi/part
worker1  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:53466 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:53472 method=GET path=/pi/part
worker1  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:53472 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:53474 method=GET path=/pi/part
worker1  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:53474 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:37 INFO Request address=172.18.0.5:40448 method=GET path=/ping
worker1  | 2025/06/27 03:18:37 INFO Response address=172.18.0.5:40448 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:44 INFO Request address=172.18.0.5:40456 method=GET path=/ping
worker1  | 2025/06/27 03:18:44 INFO Response address=172.18.0.5:40456 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:51 INFO Request address=172.18.0.5:59184 method=GET path=/ping
worker1  | 2025/06/27 03:18:51 INFO Response address=172.18.0.5:59184 status_code=200 status_text=OK
worker1  | 2025/06/27 03:18:56 INFO Request address=172.18.0.5:59186 method=GET path=/ping
worker1  | 2025/06/27 03:18:56 INFO Response address=172.18.0.5:59186 status_code=200 status_text=OK
worker1  | 2025/06/27 03:19:01 INFO Request address=172.18.0.5:56202 method=GET path=/ping
worker1  | 2025/06/27 03:19:01 INFO Response address=172.18.0.5:56202 status_code=200 status_text=OK
worker1  | 2025/06/27 03:19:06 INFO Request address=172.18.0.5:56210 method=GET path=/ping
worker1  | 2025/06/27 03:19:06 INFO Response address=172.18.0.5:56210 status_code=200 status_text=OK
worker1  | 2025/06/27 03:19:11 INFO Request address=172.18.0.5:48284 method=GET path=/ping
worker1  | 2025/06/27 03:19:11 INFO Response address=172.18.0.5:48284 status_code=200 status_text=OK
